subject,values.congruency,correct,latency,color
68,2,0.911764706,884.7058824,green
69,1,1,553.5,black
69,1,1,517.5,red
69,1,0.882352941,575,blue
69,1,0.944444444,587.2777778,green
69,2,0.944444444,660.7222222,black
69,2,1,644.1666667,red
69,2,1,587.6875,blue
69,2,0.882352941,668.7058824,green
70,1,0.944444444,584.2777778,black
70,1,0.944444444,713.6111111,red
70,1,1,672.3333333,blue
70,1,0.944444444,674.2777778,green
70,2,0.882352941,787.2352941,black
70,2,0.823529412,791.5882353,red
70,2,1,802,blue
70,2,0.944444444,723.3333333,green
71,1,1,935.2222222,black
71,1,1,1154.352941,red
71,1,1,1238.833333,blue
71,1,1,1529.411765,green
71,2,1,1389.444444,black
71,2,0.941176471,1503,red
71,2,0.823529412,1714.411765,blue
71,2,1,1495.166667,green
72,1,1,807.7222222,black
72,1,0.888888889,1036.833333,red
72,1,1,968.9444444,blue
72,1,1,837.5,green
72,2,1,1135.833333,black
72,2,1,1150,red
72,2,0.941176471,1036.470588,blue
72,2,0.944444444,962.2222222,green
73,1,1,630.2222222,black
73,1,1,679.9444444,red
73,1,1,733,blue
73,1,0.970588235,686.5588235,green
73,2,0.971428571,898.5714286,black
73,2,1,747.6388889,red
73,2,0.971428571,765.8,blue
73,2,0.942857143,811.9714286,green
74,1,1,782.7777778,black
74,1,1,727.3529412,red
74,1,1,869.6470588,blue
74,1,0.941176471,968.4117647,green
74,2,0.944444444,998.3333333,black
74,2,1,927,red
74,2,0.944444444,1053.611111,blue
74,2,0.944444444,1017.722222,green
75,1,1,642.1666667,black
75,1,1,647.5555556,red
75,1,1,725.2352941,blue
75,1,1,651.875,green
75,2,0.888888889,682.0555556,black
75,2,0.941176471,657.5294118,red
75,2,0.944444444,806.2222222,blue
75,2,1,760.5555556,green
76,1,1,664.3888889,black
76,1,0.941176471,823.3529412,red
76,1,1,846.6470588,blue
76,1,1,825.4117647,green
76,2,0.944444444,978,black
76,2,1,864.1666667,red
76,2,0.944444444,793.8888889,blue
76,2,1,911.0588235,green
77,1,1,540.7777778,black
77,1,1,516.7222222,red
77,1,0.888888889,606.2777778,blue
77,1,0.888888889,642.6666667,green
77,2,0.882352941,754.2352941,black
77,2,0.777777778,666,red
77,2,0.75,610.375,blue
77,2,0.882352941,760.8235294,green
78,1,1,673.25,black
78,1,1,720.3888889,red
78,1,1,814.1176471,blue
78,1,1,848.6470588,green
78,2,0.944444444,899.2777778,black
78,2,1,802.1111111,red
