subject,age,gender,handedness,face_rating,masked_face
30,18,F,R,3.04,masked_smile
31,18,F,L,3.39,masked_smile
32,18,M,R,2.93,masked_smile
33,19,M,L,2.7,masked_smile
34,20,F,R,3.05,masked_smile
35,22,M,L,3.17,masked_smile
36,18,F,R,2.85,masked_smile
37,22,F,R,2.75,masked_smile
38,19,F,L,3.76,masked_smile
39,19,F,R,3.23,masked_smile
40,20,F,L,3.58,masked_smile
41,21,M,R,2.5,masked_smile
42,18,M,R,3.32,masked_smile
43,19,M,L,3.33,masked_smile
44,18,F,R,2.98,masked_smile
45,19,F,L,3.78,masked_smile
46,20,M,R,3.25,masked_smile
66,20,M,L,3.67,masked_smile
72,36,M,R,3.2,masked_smile
106,19,M,R,3.07,masked_smile
103,19,F,R,3.19,masked_smile
116,25,M,R,2.54,masked_smile
117,24,F,R,3.25,masked_smile
56,18,F,L,3.39,masked_smile
78,19,F,R,2.66,masked_smile
91,21,F,L,3.15,masked_smile
94,19,M,L,2.97,masked_smile
113,69,F,L,3.66,masked_smile
48,27,F,R,3.25,masked_smile
49,24,M,R,3.79,masked_smile
50,47,M,R,3.13,masked_smile
55,19,F,R,3.21,masked_smile
61,21,M,R,2.92,masked_smile
77,18,F,L,3.5,masked_smile
79,21,M,R,2.33,masked_smile
88,26,F,L,3.47,masked_smile
89,20,F,R,3.25,masked_smile
108,25,F,R,3.11,masked_smile
112,20,M,R,2.88,masked_smile
114,23,M,L,3.38,masked_smile
60,18,F,L,3.36,masked_smile
70,28,F,R,2.62,masked_smile
74,20,F,L,3.06,masked_smile
84,22,F,R,2.81,masked_smile
87,29,F,R,2.77,masked_smile
96,19,F,R,2.89,masked_smile
105,21,F,L,3.31,masked_smile
109,21,M,L,3.37,masked_smile
52,35,F,R,2.97,masked_smile
59,24,F,R,3.25,masked_smile
62,20,M,R,3.38,masked_smile
63,20,M,R,2.98,masked_smile
67,20,F,L,3.44,masked_smile
98,28,M,R,3.06,masked_smile
83,19,M,L,3.02,masked_smile
95,24,F,R,2.86,masked_smile
111,22,F,L,3.22,masked_smile
69,22,F,L,3.17,masked_smile
82,19,M,R,2.98,masked_smile
97,22,F,L,3.7,masked_smile
76,19,F,L,3.51,masked_smile
64,19,M,L,2.92,masked_smile
93,18,F,R,2.92,masked_smile
51,23,F,L,3.09,masked_smile
85,23,M,L,2.76,masked_smile
92,21,F,R,2.77,masked_smile
65,21,M,R,2.95,masked_smile
100,19,M,R,3.69,masked_smile
107,23,M,R,3.58,masked_smile
81,21,M,L,3.18,masked_smile
90,21,M,R,3.21,masked_smile
86,23,F,R,2.95,masked_smile
75,52,M,L,2.89,masked_smile
73,24,F,R,3.53,masked_smile
101,21,F,L,3.56,masked_smile
115,19,F,R,3.86,masked_smile
80,19,F,R,3.5,masked_smile
58,18,F,L,2.32,masked_smile
99,22,M,L,3.24,masked_smile
102,25,M,L,2.95,masked_smile
